,pearson
gini_tot_deg,0.607914382580976
hhi_tot_deg,-0.5455611488135346
centr_out_deg,0.5287712047598044
hhi_in_deg,-0.5274946128003944
gini_out_deg,0.5065483629442139
hhi_out_deg,-0.5011348973893653
top3deg_share,-0.4874631079386896
maxdeg_share,-0.43940048374533813
num_hubs_arcade,0.4295404423591971
thr_mu_plus_sigma_deg,0.42909916093549727
n_nodes,0.41968060866876705
gini_in_deg,0.3747214105966293
avg_tot_deg,0.3631909692975597
avg_out_deg,0.3631909692975596
avg_in_deg,0.3631909692975596
n_edges,0.3468001256142244
max_over_median_deg,0.32204190094908564
centr_tot_deg,0.3117872695900629
centr_in_deg,0.17071843367123385
largest_scc_ratio,-0.16479611072629344
ratio_hubs_arcade,-0.12725320899068693
centr_betweenness,0.07834537523386403
